year,quarter,quarter_label,city,suburb,sales_count,median_price_aud,median_change_yoy_pct,reported_in_file
2014,1,2014-Q1,ADELAIDE,ADELAIDE,5,647500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE,NORTH ADELAIDE,9,1100000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,ALDGATE,16,605000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,ASHTON,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BALHANNAH,1,335000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BASKET RANGE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BELAIR,8,532500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BIRDWOOD,1,547000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BRADBURY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,BRIDGEWATER,16,391000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CAREY GULLY,1,450000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CASTAMBUL,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CHAIN OF PONDS,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CHARLESTON,1,425000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CHERRYVILLE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CRAFERS,3,450000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CRAFERS WEST,3,590000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CROMER,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,CUDLEE CREEK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,DORSET VALE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,FOREST RANGE,1,409000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,FORRESTON,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,GREENHILL,2,473500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,GUMERACHA,4,390000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,HAHNDORF,10,492500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,HEATHFIELD,6,470000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,HOUGHTON,1,700000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,HUMBUG SCRUB,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,INGLEWOOD,1,390000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,IRONBANK,1,380000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,KERSBROOK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,LENSWOOD,1,510000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,LITTLEHAMPTON,17,400000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,LOBETHAL,12,317500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,LONGWOOD,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,LOWER HERMITAGE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,MARBLE HILL,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,MONTACUTE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,MOUNT GEORGE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,MOUNT TORRENS,5,282500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,MYLOR,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,NAIRNE,22,337500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,NORTON SUMMIT,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,OAKBANK,3,412000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,PARACOMBE,2,512500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,PICCADILLY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,ROSTREVOR,28,512500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,SCOTT CREEK,1,475000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,SKYE,2,870000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,STIRLING,16,695000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,SUMMERTOWN,3,686000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,TERINGIE,2,549000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,UPPER HERMITAGE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,UPPER STURT,1,370000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,URAIDLA,2,480000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,VERDUN,1,340000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,WATERFALL GULLY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,WOODFORDE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,ADELAIDE HILLS,WOODSIDE,6,391291,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,AULDANA,2,755000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,BEAUMONT,13,750000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,BEULAH PARK,1,655000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,BURNSIDE,14,885000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,DULWICH,3,932500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,EASTWOOD,2,499000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,ERINDALE,6,911000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,FREWVILLE,3,553000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,GLEN OSMOND,9,850000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,GLENSIDE,5,700000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,GLENUNGA,5,725000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,HAZELWOOD PARK,5,802000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,KENSINGTON GARDENS,6,902500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,KENSINGTON PARK,10,719500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,LEABROOK,2,1427500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,LEAWOOD GARDENS,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,LINDEN PARK,8,752750,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,MAGILL,37,625000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,MOUNT OSMOND,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,ROSE PARK,3,1560000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,ROSSLYN PARK,6,1115000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,SKYE,2,870000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,ST.GEORGES,10,752500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,STONYFELL,7,687500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,TOORAK GARDENS,6,1002500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,TUSMORE,5,750000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,WATERFALL GULLY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,BURNSIDE,WATTLE PARK,13,750000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,ATHELSTONE,24,415000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,CAMPBELLTOWN,21,465000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,HECTORVILLE,11,457500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,MAGILL,37,625000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,NEWTON,10,452500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,PARADISE,20,405750,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,ROSTREVOR,28,512500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CAMPBELLTOWN,TRANMERE,12,550000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,ALBERT PARK,10,435000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,ALLENBY GARDENS,11,476500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,ATHOL PARK,5,360000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,BEVERLEY,3,310000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,BOWDEN,3,160000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,BROMPTON,5,487125,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,CHELTENHAM,7,422000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,CROYDON,2,558000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,DEVON PARK,2,475000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,FINDON,11,456000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,FLINDERS PARK,18,482500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,FULHAM GARDENS,11,564000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,GRANGE,14,568500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,HENDON,8,387500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,HENLEY BEACH,14,670000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,HENLEY BEACH SOUTH,5,760000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,HINDMARSH,1,320000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,KIDMAN PARK,9,481500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,KILKENNY,2,322250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,OVINGHAM,2,502500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,PENNINGTON,9,330000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,RENOWN PARK,5,410000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,RIDLEYTON,6,452500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,ROYAL PARK,10,366000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,SEATON,34,420000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,SEMAPHORE PARK,7,475375,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,ST.CLAIR,6,628500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,TENNYSON,2,1380000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WELLAND,2,500000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WEST BEACH,15,680000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WEST CROYDON,10,451000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WEST HINDMARSH,3,450000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WEST LAKES,8,584750,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WEST LAKES SHORE,7,550000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WOODVILLE,3,631000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WOODVILLE NORTH,6,330000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WOODVILLE PARK,7,480000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WOODVILLE SOUTH,15,417000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,CHARLES STURT,WOODVILLE WEST,8,413500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,BIBARINGA,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,EVANSTON,9,283000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,EVANSTON GARDENS,6,300000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,EVANSTON PARK,20,364500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,EVANSTON SOUTH,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,GAWLER,2,320000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,GAWLER EAST,24,347500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,GAWLER SOUTH,11,326000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,GAWLER WEST,4,247500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,HILLIER,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,KUDLA,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,REID,1,325000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,ULEYBURY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,GAWLER,WILLASTON,22,271975,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,BRIGHTON,11,585000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,GLENELG,4,842500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,GLENELG EAST,8,612500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,GLENELG NORTH,21,645000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,GLENELG SOUTH,6,815250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,HOVE,10,630000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,KINGSTON PARK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,NORTH BRIGHTON,8,627500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,SEACLIFF,9,665000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,SEACLIFF PARK,14,491500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,SOMERTON PARK,16,750000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,HOLDFAST BAY,SOUTH BRIGHTON,2,552250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,ASCOT PARK,12,392500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,BEDFORD PARK,2,477500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,CLOVELLY PARK,10,422000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,DARLINGTON,3,395000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,DOVER GARDENS,11,457500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,EDWARDSTOWN,10,433000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,GLANDORE,6,618000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,GLENGOWRIE,15,602000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,HALLETT COVE,50,451875,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,MARINO,8,526250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,MARION,8,453000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,MITCHELL PARK,18,415000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,MORPHETTVILLE,8,417500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,O'HALLORAN HILL,12,350000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,OAKLANDS PARK,16,447000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,PARK HOLME,5,480000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,PLYMPTON PARK,7,508647,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SEACLIFF PARK,14,491500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SEACOMBE GARDENS,15,427000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SEACOMBE HEIGHTS,6,450000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SEAVIEW DOWNS,10,500000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SHEIDOW PARK,22,402500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,SOUTH PLYMPTON,13,444500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,STURT,7,390000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,TROTT PARK,16,351250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MARION,WARRADALE,21,471000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,BEDFORD PARK,2,477500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,BELAIR,8,532500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,BELLEVUE HEIGHTS,11,515000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,BLACKWOOD,12,472000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,BROWN HILL CREEK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,CLAPHAM,3,789000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,CLARENCE GARDENS,4,527610,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,COLONEL LIGHT GARDENS,11,587500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,COROMANDEL VALLEY,13,518500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,CRAFERS WEST,3,590000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,CRAIGBURN FARM,11,715000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,CUMBERLAND PARK,9,562000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,DAW PARK,7,485000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,EDEN HILLS,13,455000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,GLENALTA,11,460000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,HAWTHORN,6,1122500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,HAWTHORNDENE,8,459250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,KINGSWOOD,13,912000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,LEAWOOD GARDENS,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,LOWER MITCHAM,13,645500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,LYNTON,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,MELROSE PARK,6,540000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,MITCHAM,12,670000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,NETHERBY,10,1040000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,PANORAMA,7,628000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,PASADENA,6,611000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,SPRINGFIELD,2,1120000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,ST.MARYS,8,381250,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,TORRENS PARK,7,717500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,UPPER STURT,1,370000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,URRBRAE,6,650000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MITCHAM,WESTBOURNE PARK,7,700000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BALHANNAH,1,335000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BIGGS FLAT,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BLAKISTON,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BRIDGEWATER,16,391000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BRUKUNGA,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BUGLE RANGES,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,BULL CREEK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,CALLINGTON,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,CHAPEL HILL,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,DAWESLEY,2,375000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,DORSET VALE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,ECHUNGA,2,400000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,FLAXLEY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,GREEN HILLS RANGE,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,HAHNDORF,10,492500,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,HARROGATE,1,335000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,HAY VALLEY,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,JUPITER CREEK,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,KANGARILLA,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,KANMANTOO,1,215000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,KUITPO,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,LITTLEHAMPTON,17,400000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MACCLESFIELD,6,371000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MEADOWS,9,310000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MOUNT BARKER,47,405000,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MOUNT BARKER JUNCTION,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MOUNT BARKER SPRINGS,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MOUNT BARKER SUMMIT,,,,metro-median-house-sales-2015-q1.xlsx
2014,1,2014-Q1,MOUNT BARKER,MOUNT TORRENS,5,282500,,metro-median-house-sales-2015-q1.xlsx
