table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,94377,26.3
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,96857,26.5
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,103089,27.7
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,245016,68.2
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,248836,68
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,246218,66.1
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2022-23,19894,5.5
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2023-24,20429,5.6
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2024-25,22999,6.2
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Total,,2022-23,359286,100
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Total,,2023-24,366118,100
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Total,,2024-25,372305,100
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2022-23,168826,46.2
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2023-24,170746,45.8
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2024-25,174191,45.9
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2022-23,187922,51.4
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2023-24,191793,51.4
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2024-25,192428,50.7
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2022-23,24143,6.6
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2023-24,23614,6.3
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2024-25,24157,6.4
1,"Clients, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2022-23,38274,10.5
