table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,01 Homicide,24
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,02 Assault,2702
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,03 Sexual offences,451
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,04 Harm or endanger persons,163
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,"05 Robbery, blackmail, and extortion",119
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,06 Burglary,917
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,07 Theft,2340
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,08 Fraud and related offences,282
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,09 Drug offences,1504
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,10 Weapons and explosives offences,1416
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,11 Property damage,815
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,"12 Public order, health, and safety offences",1112
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,13 Traffic and vehicle offences,9413
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,14 Offences against justice procedures and orders,1901
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,15 Offences against government,91
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,16 Environmental offences,81
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,17 Miscellaneous offences,14
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,Total,23343
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,01 Homicide,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,02 Assault,180
