STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,222722,24.77%,2.12%
VIC,217080,24.14%,1.81%
QLD,194105,21.59%,2.97%
SA,85193,9.48%,2.56%
WA,136389,15.17%,3.16%
TAS,22956,2.55%,3.51%
NT,5048,0.56%,3.36%
ACT,15563,1.73%,7.04%
Other,15,0.00%,0.00%
TOTAL,899071,100.00%,2.55%
